=== Command Log for (RED) ArcherSwarm ===
Started: 3/23/2026 2:54:14 PM

--- Round 1 ---
[F518 T=0.2s] BUILD: PAWN#1 at (67, 36, 0) -> BASE at (64, 33, 0) (gold=1000) -> SUCCESS (dispatched)
[F518 T=0.2s] BUILD: pawn#1 -> BASE at (64, 33, 0) -> STARTED (path=2 steps, gold remaining=500)
[F598 T=12.6s] TRAIN: BASE#4 -> PAWN (gold=500) -> SUCCESS (dispatched)
[F598 T=12.6s] TRAIN: BASE#4 -> PAWN -> STARTED (gold remaining=450)
[F598 T=12.6s] BUILD: PAWN#1 at (67, 34, 0) -> ARCHERY at (51, 27, 0) (gold=450) -> SUCCESS (dispatched)
[F598 T=12.6s] BUILD: pawn#1 -> ARCHERY at (51, 27, 0) -> STARTED (path=13 steps, gold remaining=100)
[F613 T=14.6s] TRAIN: BASE#4 -> PAWN (gold=100) -> SUCCESS (dispatched)
[F613 T=14.6s] TRAIN: BASE#4 -> PAWN -> STARTED (gold remaining=50)
[F613 T=14.6s] BUILD: PAWN#8 at (65, 34, 0) -> ARCHERY at (51, 27, 0) -> FAILED: area not buildable at (51, 27, 0)
[F613 T=14.6s] GATHER: pawn#8 -> mine#3, base#4 -> THROTTLED: on cooldown
[F614 T=14.7s] BUILD: unit#8 -> ARCHERY at (51, 27) -> THROTTLED: on cooldown
[F614 T=14.7s] GATHER: pawn#8 -> mine#3, base#4 -> THROTTLED: on cooldown
[F615 T=14.8s] BUILD: unit#8 -> ARCHERY at (51, 27) -> THROTTLED: on cooldown
[F615 T=14.8s] GATHER: pawn#8 -> mine#3, base#4 -> THROTTLED: on cooldown
[F616 T=14.9s] BUILD: unit#8 -> ARCHERY at (51, 27) -> THROTTLED: on cooldown
[F616 T=14.9s] GATHER: pawn#8 -> mine#3, base#4 -> THROTTLED: on cooldown
[F617 T=15.1s] BUILD: unit#8 -> ARCHERY at (51, 27) -> THROTTLED: on cooldown
[F617 T=15.1s] GATHER: pawn#8 -> mine#3, base#4 -> THROTTLED: on cooldown
[F618 T=15.2s] BUILD: unit#8 -> ARCHERY at (51, 27) -> THROTTLED: on cooldown
[F618 T=15.2s] GATHER: pawn#8 -> mine#3, base#4 -> THROTTLED: on cooldown
[F619 T=15.3s] BUILD: unit#8 -> ARCHERY at (51, 27) -> THROTTLED: on cooldown
[F619 T=15.3s] GATHER: pawn#8 -> mine#3, base#4 -> THROTTLED: on cooldown
[F620 T=15.5s] BUILD: unit#8 -> ARCHERY at (51, 27) -> THROTTLED: on cooldown
[F620 T=15.5s] GATHER: pawn#8 -> mine#3, base#4 -> THROTTLED: on cooldown
[F621 T=15.7s] BUILD: unit#8 -> ARCHERY at (51, 27) -> THROTTLED: on cooldown
[F621 T=15.7s] GATHER: pawn#8 -> mine#3, base#4 -> THROTTLED: on cooldown
[F622 T=15.8s] BUILD: unit#8 -> ARCHERY at (51, 27) -> THROTTLED: on cooldown
[F622 T=15.8s] GATHER: pawn#8 -> mine#3, base#4 -> THROTTLED: on cooldown
