=== Command Log for (BLU) ArcherSwarm ===
Started: 3/23/2026 9:43:10 PM

--- Round 1 ---
[F719 T=0.1s] BUILD: PAWN#0 at (7, 7, 0) -> BASE at (5, 8, 0) (gold=1000) -> SUCCESS (dispatched)
[F719 T=0.1s] BUILD: pawn#0 -> BASE at (5, 8, 0) -> STARTED (path=2 steps, gold remaining=500)
[F811 T=11.9s] TRAIN: BASE#4 -> PAWN (gold=500) -> SUCCESS (dispatched)
[F811 T=11.9s] TRAIN: BASE#4 -> PAWN -> STARTED (gold remaining=450)
[F811 T=11.9s] BUILD: PAWN#0 at (7, 7, 0) -> ARCHERY at (7, 12, 0) (gold=450) -> SUCCESS (dispatched)
[F811 T=11.9s] BUILD: pawn#0 -> ARCHERY at (7, 12, 0) -> EXEC_FAILED: no path found to build site
[F811 T=11.9s] GATHER: pawn#0 at (7, 7, 0) -> mine#2 at (13, 14, 0), base#4 at (5, 8, 0) -> SUCCESS (dispatched)
[F811 T=11.9s] GATHER: pawn#0 at (7, 7, 0) -> mine#2 at (13, 14, 0), base#4 -> STARTED (path=0 steps)
[F812 T=12.4s] BUILD: PAWN#0 at (7, 7, 0) -> ARCHERY at (7, 12, 0) (gold=450) -> SUCCESS (dispatched)
[F812 T=12.4s] BUILD: pawn#0 -> ARCHERY at (7, 12, 0) -> EXEC_FAILED: no path found to build site
[F813 T=12.9s] BUILD: PAWN#0 at (7, 7, 0) -> ARCHERY at (7, 12, 0) (gold=450) -> SUCCESS (dispatched)
[F813 T=12.9s] BUILD: pawn#0 -> ARCHERY at (7, 12, 0) -> EXEC_FAILED: no path found to build site
[F814 T=13.3s] BUILD: PAWN#0 at (7, 7, 0) -> ARCHERY at (7, 12, 0) (gold=450) -> SUCCESS (dispatched)
[F814 T=13.3s] BUILD: pawn#0 -> ARCHERY at (7, 12, 0) -> EXEC_FAILED: no path found to build site
[F815 T=13.7s] BUILD: PAWN#0 at (7, 7, 0) -> ARCHERY at (7, 12, 0) (gold=450) -> SUCCESS (dispatched)
[F815 T=13.7s] BUILD: pawn#0 -> ARCHERY at (7, 12, 0) -> EXEC_FAILED: no path found to build site
[F816 T=14.0s] BUILD: PAWN#0 at (7, 7, 0) -> ARCHERY at (7, 12, 0) (gold=450) -> SUCCESS (dispatched)
[F816 T=14.0s] BUILD: pawn#0 -> ARCHERY at (7, 12, 0) -> EXEC_FAILED: no path found to build site
[F817 T=14.4s] TRAIN: BASE#4 -> PAWN (gold=450) -> SUCCESS (dispatched)
[F817 T=14.4s] TRAIN: BASE#4 -> PAWN -> STARTED (gold remaining=400)
[F817 T=14.4s] BUILD: PAWN#6 at (11, 5, 0) -> ARCHERY at (7, 12, 0) (gold=400) -> SUCCESS (dispatched)
[F817 T=14.4s] BUILD: pawn#6 -> ARCHERY at (7, 12, 0) -> STARTED (path=4 steps, gold remaining=50)
[F830 T=16.6s] TRAIN: BASE#4 -> PAWN (gold=50) -> SUCCESS (dispatched)
[F830 T=16.6s] TRAIN: BASE#4 -> PAWN -> STARTED (gold remaining=0)
[F830 T=16.6s] BUILD: PAWN#10 at (11, 9, 0) -> ARCHERY at (7, 12, 0) -> FAILED: area not buildable at (7, 12, 0)
[F830 T=16.6s] GATHER: pawn#10 -> mine#2, base#4 -> THROTTLED: on cooldown
[F831 T=16.8s] BUILD: unit#10 -> ARCHERY at (7, 12) -> THROTTLED: on cooldown
[F831 T=16.8s] GATHER: pawn#10 -> mine#2, base#4 -> THROTTLED: on cooldown
[F832 T=16.9s] BUILD: unit#10 -> ARCHERY at (7, 12) -> THROTTLED: on cooldown
[F832 T=16.9s] GATHER: pawn#10 -> mine#2, base#4 -> THROTTLED: on cooldown
[F833 T=17.0s] BUILD: unit#10 -> ARCHERY at (7, 12) -> THROTTLED: on cooldown
[F833 T=17.0s] GATHER: pawn#10 -> mine#2, base#4 -> THROTTLED: on cooldown
[F834 T=17.1s] BUILD: unit#10 -> ARCHERY at (7, 12) -> THROTTLED: on cooldown
[F834 T=17.1s] GATHER: pawn#10 -> mine#2, base#4 -> THROTTLED: on cooldown
[F835 T=17.2s] BUILD: unit#10 -> ARCHERY at (7, 12) -> THROTTLED: on cooldown
[F835 T=17.2s] GATHER: pawn#10 -> mine#2, base#4 -> THROTTLED: on cooldown
[F836 T=17.4s] BUILD: unit#10 -> ARCHERY at (7, 12) -> THROTTLED: on cooldown
[F836 T=17.4s] GATHER: pawn#10 -> mine#2, base#4 -> THROTTLED: on cooldown
[F837 T=17.6s] BUILD: unit#10 -> ARCHERY at (7, 12) -> THROTTLED: on cooldown
[F837 T=17.6s] GATHER: pawn#10 -> mine#2, base#4 -> THROTTLED: on cooldown
[F838 T=17.7s] BUILD: unit#10 -> ARCHERY at (7, 12) -> THROTTLED: on cooldown
[F838 T=17.7s] GATHER: pawn#10 -> mine#2, base#4 -> THROTTLED: on cooldown
[F839 T=17.8s] BUILD: unit#10 -> ARCHERY at (7, 12) -> THROTTLED: on cooldown
[F839 T=17.8s] GATHER: pawn#10 -> mine#2, base#4 -> THROTTLED: on cooldown
[F840 T=17.9s] BUILD: unit#10 -> ARCHERY at (7, 12) -> THROTTLED: on cooldown
[F840 T=17.9s] GATHER: pawn#10 -> mine#2, base#4 -> THROTTLED: on cooldown
[F841 T=18.0s] BUILD: unit#10 -> ARCHERY at (7, 12) -> THROTTLED: on cooldown
[F841 T=18.0s] GATHER: pawn#10 -> mine#2, base#4 -> THROTTLED: on cooldown
[F842 T=18.1s] BUILD: unit#10 -> ARCHERY at (7, 12) -> THROTTLED: on cooldown
[F842 T=18.1s] GATHER: pawn#10 -> mine#2, base#4 -> THROTTLED: on cooldown
[F843 T=18.2s] BUILD: unit#10 -> ARCHERY at (7, 12) -> THROTTLED: on cooldown
[F843 T=18.2s] GATHER: pawn#10 -> mine#2, base#4 -> THROTTLED: on cooldown
[F844 T=18.4s] BUILD: unit#10 -> ARCHERY at (7, 12) -> THROTTLED: on cooldown
[F844 T=18.4s] GATHER: pawn#10 -> mine#2, base#4 -> THROTTLED: on cooldown
[F845 T=18.5s] BUILD: PAWN#10 at (11, 9, 0) -> ARCHERY at (7, 12, 0) -> FAILED: area not buildable at (7, 12, 0)
[F845 T=18.5s] GATHER: pawn#10 -> mine#2, base#4 -> THROTTLED: on cooldown
[F846 T=18.6s] BUILD: unit#10 -> ARCHERY at (7, 12) -> THROTTLED: on cooldown
[F846 T=18.6s] GATHER: pawn#10 -> mine#2, base#4 -> THROTTLED: on cooldown
