tick,agent,type,unit,target_x,target_y,target_unit,building_type,mine,base
2,0,BUILD,0,7,8,-1,BASE,-1,-1
2,1,BUILD,1,64,22,-1,BASE,-1,-1
25,0,TRAIN,4,0,0,-1,PAWN,-1,-1
25,0,BUILD,0,2,13,-1,ARCHERY,-1,-1
25,1,TRAIN,5,0,0,-1,PAWN,-1,-1
25,1,BUILD,1,66,26,-1,BARRACKS,-1,-1
29,0,TRAIN,4,0,0,-1,PAWN,-1,-1
29,0,GATHER,8,0,0,-1,,2,4
29,1,TRAIN,5,0,0,-1,PAWN,-1,-1
29,1,GATHER,9,0,0,-1,,3,5
33,0,TRAIN,4,0,0,-1,PAWN,-1,-1
33,0,GATHER,10,0,0,-1,,2,4
33,1,GATHER,11,0,0,-1,,3,5
37,0,GATHER,12,0,0,-1,,2,4
41,1,TRAIN,5,0,0,-1,PAWN,-1,-1
45,1,GATHER,13,0,0,-1,,3,5
51,0,TRAIN,4,0,0,-1,PAWN,-1,-1
52,1,TRAIN,5,0,0,-1,PAWN,-1,-1
55,0,GATHER,14,0,0,-1,,2,4
56,1,GATHER,15,0,0,-1,,3,5
60,1,TRAIN,5,0,0,-1,PAWN,-1,-1
64,1,GATHER,16,0,0,-1,,3,5
69,1,GATHER,1,0,0,-1,,3,5
70,0,GATHER,0,0,0,-1,,2,4
71,1,TRAIN,7,0,0,-1,WARRIOR,-1,-1
89,0,BUILD,0,16,13,-1,MONASTERY,-1,-1
89,0,TRAIN,6,0,0,-1,ARCHER,-1,-1
103,1,BUILD,1,70,17,-1,ARCHERY,-1,-1
109,0,TRAIN,6,0,0,-1,ARCHER,-1,-1
121,0,TRAIN,6,0,0,-1,ARCHER,-1,-1
129,0,TRAIN,6,0,0,-1,ARCHER,-1,-1
137,0,GATHER,0,0,0,-1,,2,4
142,0,TRAIN,6,0,0,-1,ARCHER,-1,-1
142,0,TRAIN,18,0,0,-1,MONK,-1,-1
147,0,TRAIN,18,0,0,-1,MONK,-1,-1
155,0,TRAIN,6,0,0,-1,ARCHER,-1,-1
170,1,BUILD,1,64,13,-1,MONASTERY,-1,-1
